tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999980341886, pitch = -1.0639899458762464e-06, roll = 2.4854425023149753e-06, YxRef = 3.0927014331075024e-07, TxRef = 0.05748127170417655
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999682866618, pitch = 6.385291388167066e-08, roll = 3.4783216406717106e-07, YxRef = 6.230323628653073e-07, TxRef = 0.05748162309830343
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999754948465, pitch = 6.385291388167066e-08, roll = 3.4783216406717106e-07, YxRef = 6.230323628653073e-07, TxRef = 0.05748162309830343
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999727202819, pitch = -9.615101580912469e-08, roll = 1.1207172109518415e-06, YxRef = 7.171302121521521e-07, TxRef = 0.05748171202188751
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999638363571, pitch = -9.615101580912469e-08, roll = 1.1207172109518415e-06, YxRef = 7.171302121521521e-07, TxRef = 0.05748171202188751
tur_yaw = 0.0334999999999737, bal_yaw = -0.6965002306130538, pitch = 7.29900863945825e-07, roll = -7.44116298993297e-08, YxRef = 4.721966988767839e-07, TxRef = 0.05748150034718668
tur_yaw = 0.0334999999999737, bal_yaw = -0.6964999636089112, pitch = 7.29900863945825e-07, roll = -7.44116298993297e-08, YxRef = 4.721966988767839e-07, TxRef = 0.05748150034718668
tur_yaw = 0.0334999999999737, bal_yaw = -0.6965001389429446, pitch = 1.0862036749153962e-06, roll = -1.846648745430945e-06, YxRef = -9.065574726569721e-08, TxRef = 0.05748095325592294
tur_yaw = 0.0334999999999737, bal_yaw = -0.696499956114591, pitch = 1.0862036749153962e-06, roll = -1.846648745430945e-06, YxRef = -9.065574726569721e-08, TxRef = 0.05748095325592294
tur_yaw = 0.03349999999997372, bal_yaw = -0.6965003827200782, pitch = 6.562651332851165e-07, roll = -2.7318759501009615e-06, YxRef = -1.0996941087174514e-08, TxRef = 0.05748102709552387
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964999724346175, pitch = 6.562651332851165e-07, roll = -2.7318759501009615e-06, YxRef = -1.0996941087174514e-08, TxRef = 0.05748102709552387
tur_yaw = 0.033499999999973724, bal_yaw = -0.6965000229584378, pitch = -4.748292034019002e-08, roll = -1.2317614233834736e-06, YxRef = 7.237688452334098e-07, TxRef = 0.05748173976140267
tur_yaw = 0.033499999999973724, bal_yaw = -0.6964999524237511, pitch = -4.748292034019002e-08, roll = -1.2317614233834736e-06, YxRef = 7.237688452334098e-07, TxRef = 0.05748173976140267
tur_yaw = 0.03349999999997371, bal_yaw = -0.6965002256999342, pitch = 9.835396287547464e-08, roll = 2.1019450741925224e-07, YxRef = 1.093342871828054e-06, TxRef = 0.057482119541498775
tur_yaw = 0.03349999999997371, bal_yaw = -0.696499971388262, pitch = 9.835396287547464e-08, roll = 2.1019450741925224e-07, YxRef = 1.093342871828054e-06, TxRef = 0.057482119541498775
tur_yaw = 0.03349999999997368, bal_yaw = -0.6964998316045092, pitch = 2.4776960514313e-07, roll = 7.990294754006295e-07, YxRef = 8.610895287619064e-07, TxRef = 0.05748188954351344
tur_yaw = 0.03349999999997368, bal_yaw = -0.6964999630523747, pitch = 2.4776960514313e-07, roll = 7.990294754006295e-07, YxRef = 8.610895287619064e-07, TxRef = 0.05748188954351344
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999993953589, pitch = -4.1738806766460866e-07, roll = 8.252639304005348e-07, YxRef = 1.41403520484556e-06, TxRef = 0.05748242135240356
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999446192461, pitch = -4.1738806766460866e-07, roll = 8.252639304005348e-07, YxRef = 1.41403520484556e-06, TxRef = 0.05748242135240356
tur_yaw = 0.033499999999973724, bal_yaw = -0.6964999214349417, pitch = 1.4027732551822984e-07, roll = 2.1360089296544863e-06, YxRef = 1.6232512413782593e-06, TxRef = 0.057482647954749916
tur_yaw = 0.033499999999973724, bal_yaw = -0.6964999833561054, pitch = 1.4027732551822984e-07, roll = 2.1360089296544863e-06, YxRef = 1.6232512413782593e-06, TxRef = 0.057482647954749916
tur_yaw = 0.0334999999999737, bal_yaw = -0.6964999123032298, pitch = -1.1195798183049575e-07, roll = 1.2556627759946673e-06, YxRef = 1.4765051305168514e-06, TxRef = 0.0574824916877311
tur_yaw = 0.0334999999999737, bal_yaw = -0.6964999634967008, pitch = -1.1195798183049575e-07, roll = 1.2556627759946673e-06, YxRef = 1.4765051305168514e-06, TxRef = 0.0574824916877311
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999782157617, pitch = -2.7681080446438937e-07, roll = 2.675284914374968e-06, YxRef = 1.6150338823852152e-06, TxRef = 0.05748262518829336
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999545858273, pitch = -2.7681080446438937e-07, roll = 2.675284914374968e-06, YxRef = 1.6150338823852152e-06, TxRef = 0.05748262518829336
tur_yaw = 0.03349999999997373, bal_yaw = -0.696499859879626, pitch = 1.233582021477622e-07, roll = 4.10241676331948e-07, YxRef = 1.7054689209449526e-06, TxRef = 0.05748272721200815
tur_yaw = 0.03349999999997373, bal_yaw = -0.6964999467274525, pitch = 1.233582021477622e-07, roll = 4.10241676331948e-07, YxRef = 1.7054689209449526e-06, TxRef = 0.05748272721200815
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999898425772, pitch = -3.9587483076428287e-07, roll = 1.854670396700693e-06, YxRef = 2.000116783465429e-06, TxRef = 0.057483005492427935
tur_yaw = 0.03349999999997369, bal_yaw = -0.696499940760984, pitch = -3.9587483076428287e-07, roll = 1.854670396700693e-06, YxRef = 2.000116783465429e-06, TxRef = 0.057483005492427935
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964999620648437, pitch = 7.186915463047968e-07, roll = -1.5469162002293217e-06, YxRef = 2.250248110308416e-06, TxRef = 0.05748329343016027
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964999396745536, pitch = 7.186915463047968e-07, roll = -1.5469162002293217e-06, YxRef = 2.250248110308416e-06, TxRef = 0.05748329343016027
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964998884928226, pitch = 1.234138241362387e-07, roll = -1.2126226871587268e-06, YxRef = 3.0976447299153946e-06, TxRef = 0.05748411992681298
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999342909717, pitch = 1.234138241362387e-07, roll = -1.2126226871587268e-06, YxRef = 3.0976447299153946e-06, TxRef = 0.05748411992681298
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964998190359148, pitch = 1.0181387358719817e-06, roll = -1.9171610858145867e-06, YxRef = 3.905260397972155e-06, TxRef = 0.05748495416513961
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964999791899709, pitch = 1.0181387358719817e-06, roll = -1.9171610858145867e-06, YxRef = 3.905260397972155e-06, TxRef = 0.05748495416513961
tur_yaw = 0.03349999999997371, bal_yaw = -0.6964999459383406, pitch = 7.534781786336886e-07, roll = -1.1057748156582614e-06, YxRef = 4.5546881806774465e-06, TxRef = 0.05748559409436447
tur_yaw = 0.03349999999997371, bal_yaw = -0.696499976166791, pitch = 7.534781786336886e-07, roll = -1.1057748156582614e-06, YxRef = 4.5546881806774465e-06, TxRef = 0.05748559409436447
tur_yaw = 0.033499999999973704, bal_yaw = -0.696500073533072, pitch = 1.5684850270211086e-06, roll = -1.629624144612832e-06, YxRef = 4.744812751545881e-06, TxRef = 0.05748581313116509
tur_yaw = 0.033499999999973704, bal_yaw = -0.696499996601103, pitch = 1.5684850270211086e-06, roll = -1.629624144612832e-06, YxRef = 4.744812751545881e-06, TxRef = 0.05748581313116509
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999316901624, pitch = 3.1890542636429085e-06, roll = -7.024381107479043e-06, YxRef = 4.464181606316101e-06, TxRef = 0.057485585934446325
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999725497455, pitch = 3.1890542636429085e-06, roll = -7.024381107479043e-06, YxRef = 4.464181606316101e-06, TxRef = 0.057485585934446325
tur_yaw = 0.033499999999973676, bal_yaw = -0.6964999880916021, pitch = 2.772375621698951e-06, roll = -8.065288276626496e-06, YxRef = 5.068151299096619e-06, TxRef = 0.05748617652778515
tur_yaw = 0.033499999999973676, bal_yaw = -0.6964999602582769, pitch = 2.772375621698951e-06, roll = -8.065288276626496e-06, YxRef = 5.068151299096619e-06, TxRef = 0.05748617652778515
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964999236137835, pitch = 3.524825966483009e-06, roll = -9.772097090140102e-06, YxRef = 5.9674513923623335e-06, TxRef = 0.0574871003319577
tur_yaw = 0.03349999999997372, bal_yaw = -0.6964999572217868, pitch = 3.524825966483009e-06, roll = -9.772097090140102e-06, YxRef = 5.9674513923623335e-06, TxRef = 0.0574871003319577
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999589359384, pitch = 4.4073357437904485e-06, roll = -1.1063399718736431e-05, YxRef = 6.217154071310928e-06, TxRef = 0.05748737950586223
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999633787863, pitch = 4.4073357437904485e-06, roll = -1.1063399718736431e-05, YxRef = 6.217154071310928e-06, TxRef = 0.05748737950586223
tur_yaw = 0.03349999999997369, bal_yaw = -0.6965000036892792, pitch = 4.916127171876506e-06, roll = -1.33943401017061e-05, YxRef = 6.52148271368249e-06, TxRef = 0.057487702034666834
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999484619769, pitch = 4.916127171876506e-06, roll = -1.33943401017061e-05, YxRef = 6.52148271368249e-06, TxRef = 0.057487702034666834
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999674506976, pitch = 5.9498978302331555e-06, roll = -1.4538448432299232e-05, YxRef = 6.3600232288307895e-06, TxRef = 0.0574875755208378
tur_yaw = 0.033499999999973704, bal_yaw = -0.6964999524311163, pitch = 5.9498978302331555e-06, roll = -1.4538448432299232e-05, YxRef = 6.3600232288307895e-06, TxRef = 0.0574875755208378
tur_yaw = 0.03349999999997371, bal_yaw = -0.6965000020443576, pitch = 6.565352282959882e-06, roll = -1.680797798882808e-05, YxRef = 5.491950755157893e-06, TxRef = 0.05748672843703388
tur_yaw = 0.03349999999997371, bal_yaw = -0.6964999843271183, pitch = 6.565352282959882e-06, roll = -1.680797798882808e-05, YxRef = 5.491950755157893e-06, TxRef = 0.05748672843703388
tur_yaw = 0.03349999999997371, bal_yaw = -0.6965000421609003, pitch = 5.810160216711315e-06, roll = -1.8470144098305717e-05, YxRef = 5.742830758451398e-06, TxRef = 0.05748695478279234
tur_yaw = 0.03349999999997371, bal_yaw = -0.6965000056199789, pitch = 5.810160216711315e-06, roll = -1.8470144098305717e-05, YxRef = 5.742830758451398e-06, TxRef = 0.05748695478279234
tur_yaw = 0.03349999999997371, bal_yaw = -0.6965000545091478, pitch = 5.587366360445064e-06, roll = -1.839497974235523e-05, YxRef = 6.881632374327064e-06, TxRef = 0.05748808784301791
tur_yaw = 0.03349999999997371, bal_yaw = -0.6964999721899567, pitch = 5.587366360445064e-06, roll = -1.839497974235523e-05, YxRef = 6.881632374327064e-06, TxRef = 0.05748808784301791
tur_yaw = 0.03349999999997369, bal_yaw = -0.6965000742907117, pitch = 6.0597282916222465e-06, roll = -1.8723990468485502e-05, YxRef = 7.803083706436249e-06, TxRef = 0.057489027365539014
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999668883116, pitch = 6.0597282916222465e-06, roll = -1.8723990468485502e-05, YxRef = 7.803083706436249e-06, TxRef = 0.057489027365539014
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999544518966, pitch = 6.555244544290995e-06, roll = -1.9125892716402155e-05, YxRef = 8.551907258476313e-06, TxRef = 0.05748979207478523
tur_yaw = 0.03349999999997369, bal_yaw = -0.6964999885879004, pitch = 6.555244544290995e-06, roll = -1.9125892716402155e-05, YxRef = 8.551907258476313e-06, TxRef = 0.05748979207478523
tur_yaw = 0.03349999999997368, bal_yaw = -0.69649997467235, pitch = 7.505215629356333e-06, roll = -1.913667113748937e-05, YxRef = 8.67812260872468e-06, TxRef = 0.05748994974675582
tur_yaw = 0.03349999999997368, bal_yaw = -0.696499992233819, pitch = 7.505215629356333e-06, roll = -1.913667113748937e-05, YxRef = 8.67812260872468e-06, TxRef = 0.05748994974675582
